taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Lathraea clandestina,perennial,epiphyte,herb,rhizomatous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,,4.0,5.0,5.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000445595
Lathraea squamaria,perennial,,herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pink, white, whitish",erect,,,,,,,,"purple, white",1.4 cm,2.0 cm,lipped,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000445615
Lathyrus aphaca,annual,,climber/scrambler,,,0.40 m,1.00 m,glabrous,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,yellow,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,8.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212673
Lathyrus grandiflorus,perennial,,"climber, climber/scrambler",suckering,,,,hairy,,,,,,"elliptic, obovate","obtuse, acute",,,,,1.5 cm,4.0 cm,,,,,,,,,,,,,,,,,,,"purple, pinkish",2.5 cm,3.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,brown,,15.0,20.0,20.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000213808
Lathyrus hirsutus,annual,,climber/scrambler,,,,,glabrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,"brown, purple",5.0,10.0,10.0,3 mm,4 mm,3 mm,4 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212684
Lathyrus japonicus,perennial,,"scrambler, climber/scrambler",,,0.30 m,0.90 m,"glabrous, pubescent",,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,"purple, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,8.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000213813
Lathyrus latifolius,perennial,,climber/scrambler,,,,,"glabrous, pubescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,reddish-brown,8.0,23.0,23.0,3.5 mm,4.5 mm,5 mm,6 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212689
Lathyrus linifolius,perennial,,,,,0.15 m,0.40 m,glabrous,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,"green, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212690
Lathyrus niger,perennial,,climber/scrambler,,,0.30 m,0.80 m,glabrous,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,"purple, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,8.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212694
Lathyrus nissolia,annual,,,,,1.00 m,1.00 m,glabrous,,,,,,,,,,,,,,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,20.0,20.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212696
Lathyrus odoratus,annual,,"climber, climber/scrambler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"purple, pink, mauve, white",1.2 cm,3.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,dark-brown,,,,4 mm,5 mm,4.2 mm,5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212700
Lathyrus palustris,perennial,,climber/scrambler,,,0.60 m,1.20 m,glabrous,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,8.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-1200001596
Lathyrus pratensis,perennial,,climber/scrambler,,,0.30 m,1.20 m,pubescent,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,10.0,,,25 mm,35 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000212701
Lathyrus sylvestris,perennial,,climber/scrambler,,,1.00 m,2.00 m,"glabrous, pubescent",,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,"green, pink, rose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,14.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000213824
