taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Abutilon theophrasti,annual,,,,,1.00 m,2.00 m,"tomentose, hairy, stellate, pubescent",,,lobed,"appressed, adpressed, lobed",,cordate,acuminate,cordate,,,,12 cm,12 cm,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,2.6 mm,3 mm,2.9 mm,3.5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000512325
Acacia melanoxylon,perennial,,"tree/shrub, shrub, tree",,,5 m,25 m,,,,pinnate,pinnate,,,,,,,,,,,,,,,,,actinomorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, red","black, brown",,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000204086
Acaena anserinifolia,,,"prostrate, scrambler",,,,,,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001013022
Acaena inermis,perennial,,erect leafy,rhizomatous,,0.06 m,0.06 m,,,,pinnate,pinnate,,,,,,,,1.5 cm,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,turbinate,red,,2.0,2.0,2.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001012629
Acaena novae-zelandiae,perennial,,herb,,,,,,,,pinnate,pinnate,,,,,,,,,,,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001004320
Acaena ovalifolia,perennial,,herb,,,,,,,,pinnate,pinnate,,,,,,,,1.0 cm,3.0 cm,,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001018923
Acanthus mollis,perennial,,herb,,,1.00 m,2.00 m,"glabrous, pubescent",spinescent,,lobed,lobed,"opposite, alternate",,,,,,,25 cm,100 cm,,,,,,,,zygomorphic,,purplish,,,,,,,,,"purple, white",3.5 cm,5 cm,,,,,,,,,4.0,,,,,,,,terminal,,,,,,,ovoid,,,2.0,4.0,4.0,7.5 mm,9 mm,9 mm,12 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000513864
Acanthus spinosus,perennial,,herb,,,0.80 m,1.50 m,hairy,spinescent,,lobed,lobed,"opposite, alternate",,,,,,,25 cm,60 cm,,,,,,,,zygomorphic,,purplish,,,,,,,,,white,3.5 cm,5 cm,,,,,,,,,4.0,,,,,,,,terminal,,,,,,,ovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000513891
Acer campestre,perennial,,"tree/shrub, shrub, tree",,,9 m,25 m,"glabrous, pubescent",,,lobed,lobed,,cordate,,cordate,,,,4 cm,10 cm,,,corymb,,,,,,,"green, yellowish",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514040
Acer cappadocicum,,,"tree/shrub, tussock, tree",suckering,,,,,,,"simple, lobed",lobed,,,,,,,,,,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514067
Acer negundo,,,"tree/shrub, tree",,,15 m,20 m,pubescent,,,,sessile,,"orbicular, ovate, rounded","acute, truncate","truncate, rounded",entire,15 cm,15 cm,20 cm,25 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,dioecious,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514643
Acer platanoides,perennial,,"tree/shrub, tree",,,30 m,30 m,glabrous,,,,,,cordate,,cordate,,,,5 cm,15 cm,,,corymb,,,,,,,"greenish, yellow",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514884
Acer pseudoplatanus,perennial,,"tree/shrub, tree",,,,,"glabrous, pubescent",,,lobed,lobed,,cordate,,cordate,,,,7 cm,16 cm,,,,pendulous,,,,,,"green, yellowish",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514908
Acer saccharinum,,,"tree/shrub, tree",,,30 m,31 m,,,,lobed,lobed,,,,,,9 cm,16 cm,8 cm,15 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000515004
Achillea distans,perennial,,"scrambler, herb",stoloniferous,,,,,,,pinnate,"pinnate, pinnatisect, pinnatipartite",,"oblong, lanceolate, elliptic",acute,,,,,,,,,,,,,,,,"reddish, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"grey, whitish",,,,0.6 mm,0.7 mm,1.5 mm,2 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000132690
Achillea ligustica,perennial,,"scrambler, herb",stoloniferous,,,,,,,,"pinnatisect, pinnatipartite",,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,1.5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000029015
Achillea maritima,perennial,aquatic,herb,,,,,,,,simple,,alternate,"oblong, lanceolate",,,crenate,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 mm,5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000084908
Achillea millefolium,perennial,,"scrambler, herb",,,0.08 m,0.60 m,"woolly, hairs absent",,,pinnate,"sessile, pinnate",,"linear, lanceolate",,,,4 cm,6 cm,5 cm,15 cm,,,,,,,,,,"pink, white, blackish, brown, reddish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 mm,0.7 mm,1.8 mm,2 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000042097
Achillea ptarmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"whitish, grey",,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000033807
Aconitum napellus,perennial,,herb,,,,,,,,,"palmate, partite, sessile",,linear,,,laciniate,15 cm,15 cm,,,,,,,,,,,,"mauve, blue-mauve",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4 mm,5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000517690
Acorus calamus,perennial,,erect leafy,rhizomatous,,,,glabrous,,,,,,,,,,,,,,,,,,bisexual,,,,,yellowish,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,"brown, red",,,,,,2 mm,2 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000350733
Acorus gramineus,perennial,"aquatic/hygrophilous, aquatic",herb,rhizomatous,,,,glabrous,,,simple,sessile,alternate,,,,entire,0.2 cm,0.8 cm,8 cm,50 cm,,,,,bisexual,,,actinomorphic,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000352676
Actaea spicata,perennial,,herb,,,0.30 m,0.65 m,glabrous,,,"bipinnate, lobed",lobed,spirally,"bipinnate, ovate",acute,,serrate,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,"green, blackish","dark-brown, orange",,,,2.1 mm,2.5 mm,3.2 mm,4 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000519125
Adonis annua,annual,,herb,,,,,,,,tripinnate,"partite, tripinnate",spirally,linear,acute,,,,,,,,,,,,,,,,,erect,,scarlet,,,,,,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,18 mm,18 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000521134
Adoxa moschatellina,perennial,,herb,,,0.05 m,0.10 m,glabrous,,,lobed,lobed,opposite,,,,,,,0.8 cm,0.5 cm,,,,,,,,,,,,,,,,"green, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,yellowish-brown,,,,1.7 mm,2 mm,2.4 mm,2.8 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000521309
Aegonychon purpurocaeruleum,perennial,,,rhizomatous,,0.60 m,0.60 m,pubescent,,,,,,lanceolate,acute,,,,,7 cm,7 cm,,,,,,,,,,,,,,,,,,,"purple, reddish, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000521556
Aegopodium podagraria,perennial,,,,,0.40 m,1.00 m,glabrous,,,,,,"deltate, deltoid",,,,,,10 cm,20 cm,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000521573
Aesculus hippocastanum,perennial,,"tree/shrub, tree",,,,,,,,,palmate,,,,,,,,,,,,,upright,bisexual,,,,,,,,"spot, yellow, pink, white",,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,1.0,2.0,2.0,25 mm,37 mm,34 mm,48 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000522287
Aesculus indica,,,"tree/shrub, tree",,,,,,,,,palmate,,,,,,,,,,,,,,,,,,,"pink, yellow, white, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black, brown",,,,,,,,40.0 mm,40.0 mm,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000522293
Aethusa cynapium,annual,,,solitary plant,,0.05 m,1.20 m,glabrous,,,pinnate,pinnate,,"deltate, deltoid",,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000522564
Agapanthus praecox,,,,,,,,,,,,,,,,,,,,20 cm,70 cm,,,,,,,,,,"blue, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000754090
Agave americana,perennial,,tussock,suckering,,,,"glabrous, pubescent",,,,,,lanceolate,,,,15 cm,30 cm,100.0 cm,200.0 cm,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 mm,8 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000754119
Ageratum houstonianum,annual,,,,,0.30 m,0.80 m,pubescent,,,simple,,,"cordate, ovate, deltate",,cordate,,2.5 cm,4 cm,3 cm,8 cm,,,,,,,,,,,,,,,,,,,"lavender, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000017628
Agrimonia eupatoria,perennial,,herb,,,0.30 m,1.00 m,"villous, villouse, glandular",,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000988408
Agrimonia procera,,,,,,1 m,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001006000
Agrimonia repens,,,,,,1 m,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000986693
Agrostemma githago,annual,,herb,,,,,hairy,,,,,,"lanceolate, linear",acute,,,,,5 cm,12.5 cm,,,,,,,,,,,,,"purple, reddish",,,,3 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,black,,,,3 mm,3.5 mm,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000524512
Agrostis canina,perennial,,"tussock, erect leafy/tussock, prostrate","stoloniferous, rhizomatous",,0.10 m,0.80 m,"scabrous, glabrous, pubescent",,,,flat,,,,,flat,0.1 cm,0.3 cm,2 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000843382
Agrostis capillaris,perennial,,"tussock, erect leafy/tussock","stoloniferous, rhizomatous",,0.10 m,0.80 m,"scabrous, glabrous, pubescent",,,,flat,,,,,flat,0.1 cm,0.5 cm,1 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000841743
Agrostis castellana,perennial,,tussock,rhizomatous,,0.60 m,1.00 m,pubescent,,,,flat,,linear,acute,,flat,0.15 cm,0.45 cm,12 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000841757
Agrostis gigantea,perennial,,erect leafy/tussock,rhizomatous,,0.40 m,1.20 m,"glabrous, scabrous",,,,flat,,,,,flat,0.2 cm,0.8 cm,5 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000843693
Agrostis hyemalis,"annual, perennial",,tussock,,,0.15 m,0.70 m,"glabrous, pubescent",,,,,,,,,,0.05 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000843786
Agrostis scabra,"annual, perennial",terrestrial,erect leafy/tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000844369
Agrostis stolonifera,perennial,,"erect leafy/tussock, prostrate","stoloniferous, rhizomatous",,0.08 m,0.40 m,"scabrous, glabrous",,,,flat,,,,,flat,0.05 cm,0.5 cm,1 cm,10 cm,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000844489
Agrostis vinealis,perennial,,"tussock, erect leafy/tussock",rhizomatous,,0.10 m,0.60 m,pubescent,,,,flat,,setiform,,,flat,0.1 cm,0.3 cm,2 cm,15 cm,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000844747
Ailanthus altissima,,,"tree/shrub, tree",,,,,,,,pinnate,pinnate,alternate,,,,,,,,,,,,,bisexual,,,actinomorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10.0 mm,10.0 mm,40.0 mm,40.0 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000524599
Aira caryophyllea,annual,,"tussock, erect leafy/tussock",solitary plant,,0.03 m,0.40 m,glabrous,,,,,,,,,,0.03 cm,0.03 cm,0.5 cm,5 cm,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000844922
Aira praecox,annual,,"tussock, erect leafy/tussock, prostrate",solitary plant,,0.02 m,0.20 m,glabrous,,,,involute,,,obtuse,,involute,0.03 cm,0.05 cm,5 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000845169
Ajuga chamaepitys,,,,,,,,,,,,,,linear,obtuse,,entire,,,2 cm,4 cm,,,,,,,,,,,,,,,,,,,,,,,"yellow, spotted, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000933192
Ajuga pyramidalis,perennial,,,,,0.10 m,0.30 m,"hairy, glabrous, glabrescent",,,,sessile,,"oblong, obovate",obtuse,,crenate,,,,,"green, purple",,,,,,,,,,,,,,,,0.8 cm,0.8 cm,,,,,"blue, violet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000934953
Ajuga reptans,perennial,,,,,0.10 m,0.30 m,"glabrescent, glabrous",,,,,,"oblong, obovate",obtuse,,"crenate, entire",,,4 cm,7 cm,blue,,,,,,,,,,,,,,,,0.5 cm,0.6 cm,,,,,"pink, white, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000935107
Alcea rosea,"perennial, annual",,,,,1 m,3 m,"pubescent, stellate, scabrous",,,lobed,"lobed, palmate",,"cordate, orbicular",obtuse,"cordate, orbicular","entire, crenate, scabrous, dentate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000525183
Alchemilla alpina,perennial,,"scrambler, herb",,,0.10 m,0.20 m,,,,,,,,,,,,,,,,,clustered,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000998050
Alchemilla arvensis,annual,,,,,0.02 m,0.20 m,pubescent,,,,,,oblong,,,,,,0.2 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001016026
Alchemilla australis,annual,,,,,0.02 m,0.20 m,pubescent,,,,,,oblong,,,,,,0.2 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001429268
Alchemilla conjuncta,perennial,,"scrambler, herb",,,0.10 m,0.30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000999005
Alchemilla filicaulis,perennial,,herb,,,,,"pubescent, hairy",,,,,,reniform,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000986187
Alchemilla glabra,perennial,,herb,,,,,glabrous,,,,,,reniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001013453
Alchemilla glaucescens,perennial,,herb,,,0.20 m,0.40 m,"sericeous, hairy",,,lobed,"lobed, palmate",,orbicular,,orbicular,,,,,,,,clustered,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000999868
Alchemilla glomerulans,perennial,,herb,,,0.20 m,0.40 m,hairy,,,lobed,"lobed, palmate",,reniform,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000985353
Alchemilla mollis,perennial,,herb,,,,,hairy,,,,palmate,,,acute,,incurved,15 cm,15 cm,13 cm,13 cm,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001018841
Alchemilla monticola,perennial,,herb,,,0.20 m,0.40 m,hairy,,,lobed,"palmate, lobed",,orbicular,,orbicular,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001015000
Alchemilla obtusa,perennial,,herb,,,,,glabrous,,,,,,reniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001014891
Alchemilla subcrenata,perennial,,herb,,,0.20 m,0.40 m,"hairy, glabrous, pubescent",,,lobed,"palmate, lobed",,,,,undulate,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001007048
Alchemilla vulgaris,perennial,,herb,,,,,"hairy, glabrous",,,,,,reniform,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001011234
Alchemilla wichurae,perennial,,herb,,,0.20 m,0.40 m,"hairy, glabrous",,,lobed,"palmate, lobed",,orbicular,,orbicular,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,terminal,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000984096
Alchemilla xanthochlora,,,,,,,,"hairy, glabrous",,,lobed,"palmate, lobed",,reniform,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000985078
Alisma gramineum,perennial,,,,,0.05 m,0.60 m,glabrous,,,,,,"linear, oblong, lanceolate",,,,,,1.5 cm,4.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001300838
Alisma lanceolatum,perennial,,,,,0.20 m,1.00 m,glabrous,,,,,,"linear, lanceolate, cylindrical",,cuneate,,,,8 cm,20 cm,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000755439
Alisma plantago-aquatica,perennial,,,,,0.20 m,1.00 m,glabrous,,,,,,"elliptic, cylindrical, rounded, orbicular","acute, acuminate",rounded,,,,8 cm,20 cm,,,,,,,,,,lilac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000755470
Alliaria petiolata,annual,,herb,,,,,,,,,,,,,,,,,,,,,raceme,,,,,,,white,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000526081
Allium ampeloprasum,perennial,,erect leafy,solitary plant,,0.004 m,0.03 m,"scabrous, pubescent",,,,"flat, sheathing",,,,,flat,1.2 cm,3.5 cm,15 cm,60 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000755608
Allium carinatum,perennial,,erect leafy,,,,,glabrous,,,,flat,,,,,flat,0.15 cm,0.3 cm,15 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000755899
Allium cepa,perennial,,"erect leafy, herb",solitary plant,,1.00 m,1.00 m,,,,,,,cylindrical,,,,0.5 cm,2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000755919
Allium moly,perennial,,herb,,,0.45 m,0.45 m,glabrous,,,,flat,,elliptic,,,flat,0.8 cm,3.5 cm,20 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000756755
Allium neapolitanum,perennial,,"herb, erect leafy",solitary plant,,,,,,,,flat,,,,,"entire, flat, denticulate",0.5 cm,2.0 cm,15 cm,50 cm,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000756802
Allium nigrum,perennial,,erect leafy,solitary plant,,0.025 m,0.03 m,,,,,flat,,,,,"entire, flat",1.0 cm,2.5 cm,10 cm,80 cm,,,capitulum,,,,,,campanulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000756827
