taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Kydia calycina,,,tree,,,20 m,20 m,hairy,,,,,,elliptic,"obtuse, truncate, acute",truncate,"denticulate, entire",4 cm,16.5 cm,3 cm,12.5 cm,,,,,unisexual,,,,,,,,"white, pink",0.4 cm,0.6 cm,,,,,,,,,,,,,,,15.0,,,,,,,,terminal,,,,,,,,,brown,1.0,1.0,1.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001076690
Lagenaria siceraria,annual,,"climber/scrambler, climber",,,,,,,,lobed,"lobed, palmate",,"rounded, orbicular, ovate, reniform, cordate",,"rounded, cordate, orbicular",,4 cm,23 cm,3.0 cm,23 cm,,,,,unisexual,,,,,,,,,2.4 cm,2.4 cm,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,indehiscent,ellipsoid,"yellow, green, greenish",white,,,,,,7 mm,20 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000361549
Lagerstroemia speciosa,,,tree,,,7 m,7 m,,,,,,,"ovate, elliptic",obtuse,,,3.3 cm,7.1 cm,8.2 cm,15.2 cm,,,,,,,,,,,,,,2.1 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000366693
Laggera aurita,perennial,,herb,,,0.30 m,0.60 m,,,,lobed,lobed,,"ovate, obovate",,cuneate,,1 cm,6 cm,2 cm,12 cm,,,,,,,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001129133
Lagochilus cabulicus,perennial,,suffrutex,,,1 m,1 m,,,,,,,ovate,acute,,,,,,,,,,,,,,,,,,,,,,"green, straw, yellowish",2.0 cm,3.0 cm,"white, yellowish",2.5 cm,3.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000222307
Lagochilus cuneatus,,,shrub,,,,,"pubescent, hairy",,,,"appressed, adpressed",,obovate,mucronate,cuneate,entire,0.5 cm,1.2 cm,0.8 cm,1.5 cm,,,,,,,,,,,,,,,,,1.0 cm,1.2 cm,white,1.2 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000222309
Lagurus ovatus,annual,,"erect leafy/tussock, tussock",,,,,"velutinous, pubescent",,,,,,,,,,0.2 cm,1.4 cm,1 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000877496
Lallemantia royleana,annual,,,,,,,hairy,,,simple,sessile,,"oblong, obovate",,cuneate,crenate,0.7 cm,1.5 cm,1.5 cm,2.0 cm,,,,,,,,,,,,,,,,,0.6 cm,0.7 cm,"pink, whitish, blue, lilac",0.7 cm,0.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000222402
Lamarckia aurea,annual,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent",,,,,,,,,,0.1 cm,1.0 cm,2 cm,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000877504
Lamium album,perennial,,scrambler,,,,,hairy,,,,,,"ovate, cordate","truncate, acute","truncate, cordate",serrate,,,,,,,,,,,,,,,,,,,,,1.0 cm,1.5 cm,"white, rose",2.0 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000222425
Lamium amplexicaule,annual,,,,,,,pubescent,,,lobed,lobed,,"rounded, orbicular, ovate, reniform, cordate",obtuse,"rounded, cordate",crenate,1.0 cm,2.0 cm,1.0 cm,2.0 cm,,,,,,,,,,,,,,,,,0.4 cm,0.7 cm,"purple, pink",1.5 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000222440
Lannea coromandelica,,,tree,,,10 m,10 m,,,,,,,,,,,,,,,,,,,unisexual,,,,,greenish,,,"yellow, green",,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001050697
Lantana camara,perennial,,"climber/scrambler, shrub",,,1 m,4 m,scabrous,,flexhy,,,"opposite, decussate","oblong, ovate","acuminate, acute",,"crenate, serrate",1.5 cm,5 cm,2 cm,12 cm,,,umbel,,,,,,,"yellow, scarlet, red, orange",,,,,,,0.2 cm,0.3 cm,,0.7 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000223016
Lantana indica,,,shrub,,,1 m,2.5 m,"pubescent, hairy, scabrous",,,,,opposite,"ovate, lanceolate",acute,,"crenate, serrate",1.5 cm,4 cm,2 cm,9 cm,,,,,,,,,,"whitish, pinkish, yellowish",,,,,,,0.6 cm,0.8 cm,,1.0 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,globose,purplish,,1.0,1.0,1.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000223191
