taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Abelmoschus crinitus,,,herb,,,0.5 m,1.5 m,"stellate, hirsute",,,"simple, lobed",lobed,,"cordate, orbicular, ovate",,"cordate, orbicular","serrate, dentate",,,10 cm,15 cm,,,,,,,,,,,,,,4 cm,4 cm,,2 cm,2.5 cm,"purple, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,black,,,,3 mm,3.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510854
Abelmoschus esculentus,"annual, perennial",,herb,,,0.005 m,0.025 m,"hairy, glabrous, glabrescent",,,"simple, lobed","partite, lobed",,"cordate, orbicular, ovate",,"cordate, orbicular",,,,5 cm,30 cm,,,,,,,,,,,,,,,,,2 cm,3 cm,"purple, yellow, yellowish, white",,,,,,,,,,,,,,,,,,,,,,,,,,cylindrical,,brown,5.0,15.0,15.0,3 mm,6 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510862
Abelmoschus ficulneus,perennial,,,,,0.5 m,1.5 m,scabrous,,,,partite,,"cordate, orbicular, obovate",,"cordate, orbicular","serrate, scabrous",,,2 cm,15 cm,,,,,,,,,,,,,,1.5 cm,2.5 cm,,1.5 cm,1.5 cm,"pink, purple, white",,,,,,,,,,,,,,,,,,,terminal,,,,,,,ovoid,,black,,,,3 mm,3 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510865
Abelmoschus moschatus,,,herb,,,0.5 m,3 m,hispid,,,lobed,"partite, lobed",,"cordate, orbicular, ovate",,"cordate, orbicular",,,,6 cm,30 cm,,,,,,,,,,,,,,2 cm,5.5 cm,,2 cm,3.5 cm,"purple, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,"ovoid, fusiform",,black,,,,3 mm,4 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510888
Abildgaardia ovata,perennial,terrestrial,,,,0.15 m,0.40 m,scabrous,,,,"flat, involute",,canaliculate,mucronate,,"flat, involute, scabrous",0.07 cm,0.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 mm,1.8 mm,2.2 mm,2.4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000336880
Abrus precatorius,perennial,,climber,,,,,"sericeous, glabrous",,,,,,,,,,,,5 cm,10 cm,,,,,,,,,,,,,,,,,0.25 cm,0.25 cm,"pink, white",0.9 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,"scarlet, white, black",3.0,5.0,5.0,,,7 mm,8 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000178702
Abutilon alii,perennial,,"herb, shrub",,,1 m,3 m,"stellate, velutinous, pubescent",,,,,,"cordate, orbicular, ovate, rounded",acute,"cordate, orbicular, rounded","serrate, dentate",,,4 cm,30 cm,,,,,,,,,,,,,,,,,1.0 cm,1.2 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,dehiscent,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511709
Abutilon badium,,,shrub,,,3 m,3 m,"stellate, hairy, velutinous, pubescent",,,simple,,,cordate,"acute, acuminate",cordate,"serrate, crenate",1.5 cm,16 cm,2 cm,18.5 cm,,,,,,,,,,,,,,,,,0.7 cm,1.1 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511755
Abutilon bidentatum,,,shrub,,,,,"tomentose, stellate, velutinous",,,,,,"cordate, ovate","acute, acuminate",cordate,serrate,1.5 cm,12 cm,,,,,,,,,,,,,,,,0.4 cm,0.5 cm,,0.5 cm,0.7 cm,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,3.0,3.0,3.0,1.5 mm,1.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511779
Abutilon fruticosum,perennial,,herb,,,1 m,1 m,velutinous,,,simple,,,"cordate, orbicular, lanceolate, ovate",acute,"cordate, orbicular","serrate, denticulate",1 cm,8 cm,0.5 cm,5 cm,,,,,,,,,,,,,,0.3 cm,0.4 cm,,0.4 cm,0.6 cm,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, white",3.0,3.0,3.0,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511912
Abutilon ghafoorianum,,,shrub,,,0.005 m,0.015 m,"stellate, hairy, pubescent",,,simple,,,cordate,"acute, acuminate",cordate,"serrate, crenate",,,3 cm,8 cm,,,,,,,,,,,,,,,,,1 cm,1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,dehiscent,,,brown,3.0,3.0,3.0,2 mm,2.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511928
Abutilon grandifolium,,,shrub,,,1 m,3 m,"hairy, velutinous, pubescent, hispid, stellate",,,,,,"cordate, orbicular, lanceolate, ovate","acuminate, obtuse","cordate, orbicular",serrate,,,4.10 cm,4.10 cm,,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511941
Abutilon hirtum,perennial,,herb,,,0.5 m,2 m,"stellate, hairy",,,simple,,,"cordate, ovate","acute, acuminate",cordate,"serrate, dentate, crenulate",,,3 cm,15 cm,,,,,,,,,,,,,,1 cm,1 cm,,0.6 cm,0.9 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,2.0,3.0,3.0,2 mm,2.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511971
Abutilon indicum,,,shrub,,,3 m,3 m,"stellate, hairy, velutinous, pubescent",,,simple,,,cordate,"acute, acuminate",cordate,"serrate, crenate",1.5 cm,16 cm,2 cm,18.5 cm,,,,,,,,,,,,,,,,,0.7 cm,1.1 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511989
Abutilon karachianum,perennial,,"herb, shrub",,,,,"stellate, hairy, velutinous, pubescent",,,,,,"cordate, ovate",acuminate,cordate,serrate,3 cm,15 cm,,,,,,,,,,,,,,,,1.0 cm,1.7 cm,,1 cm,1.2 cm,yellow,,,,,,,,,,,,,,,,,,,,,,,,,dehiscent,,,,3.0,3.0,3.0,2 mm,2.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512022
Abutilon malirianum,perennial,,"herb, shrub",,,0.5 m,2 m,"hairy, velutinous, pubescent, scabrous, stellate",,,simple,,,"cordate, orbicular, ovate","acute, acuminate, obtuse","cordate, orbicular","serrate, crenate, scabrous",2 cm,16 cm,,,,,,,,,,,,,,,,1.0 cm,1.2 cm,,0.7 cm,0.8 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,,globose,,,,,,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512071
Abutilon pakistanicum,,,,,,1 m,1 m,velutinous,,,,,,"cordate, orbicular, rounded",obtuse,"cordate, orbicular, rounded",entire,2 cm,8 cm,,,,,,,,,,,,,,,,0.5 cm,0.7 cm,,0.7 cm,1.0 cm,yellow,,,,,,,,,,,,,,,,,,,terminal,,,,,,,ovoid,,,3.0,3.0,3.0,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512159
Abutilon pannosum,perennial,,"herb, shrub",,,1.5 m,3 m,"stellate, velutinous, pubescent",,,simple,,,"cordate, ovate","acuminate, obtuse",cordate,"serrate, serrulate",4 cm,13 cm,,,,,,,,,,,,,,,,1.3 cm,1.7 cm,,0.8 cm,1.0 cm,yellow,,,,,,,,,,,,,,,,,,,terminal,,,,,,dehiscent,globose,,,3.0,3.0,3.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512163
Abutilon ramosum,perennial,,"herb, shrub",,,1 m,2 m,"glabrous, glabrescent, pubescent",,,,,,"cordate, ovate",acuminate,cordate,"crenate, serrate",2 cm,11 cm,3 cm,10 cm,,,,,,,,,,,,,,,,,0.5 cm,0.7 cm,yellow,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,"black, brown",24.0,24.0,24.0,1.5 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512236
Abutilon sepalum,perennial,,"herb, shrub",,,3 m,3 m,"tomentose, stellate, velutinous, pubescent",,,,,,"cordate, orbicular, ovate","acute, acuminate",cordate,dentate,3 cm,13 cm,4 cm,16 cm,,,,,,,,,,,,,,,,,0.8 cm,1.0 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,3.0,3.0,3.0,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512279
Abutilon theophrasti,annual,,herb,,,1 m,2 m,"stellate, hairy, velutinous",,,,,,"cordate, orbicular, ovate",acuminate,"cordate, orbicular","crenate, dentate, undulate",2 cm,16 cm,2 cm,20 cm,,,,,,,,,,,,,,,,,1 cm,1 cm,yellow,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,black,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000512325
Acacia aneura,,,"shrub, tree",,,0.03 m,0.075 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001053991
Acacia auriculiformis,,,"tree/shrub, tree",,,,,glabrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 cm,0.05 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000173754
Acacia mearnsii,,,tree,,,,,sericeous,unarmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000203882
Acacia melanoxylon,perennial,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000204086
Acalypha brachystachya,annual,,herb,,,,,hirsute,,,,,,"orbicular, ovate, rounded","acute, acuminate","cuneate, rounded","crenate, serrate",1 cm,2.5 cm,1.5 cm,4 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000491787
Acalypha ciliata,annual,,herb,,,,,"glabrous, pubescent",,,,,,"ovate, orbicular, elliptic, rounded","caudate, acuminate","cuneate, rounded","crenate, serrate",1.5 cm,4 cm,3 cm,8 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1.3 mm,1.3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-1000038365
Acalypha hispida,,,shrub,,,,,"tomentose, glabrous, glabrescent, pubescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dioecious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000950778
Acalypha indica,annual,,"herb, shrub",,,2.5 m,2.5 m,"glabrous, pubescent",,,,,,"rhombic, ovate",acute,cuneate,"crenate, serrate",1 cm,5 cm,2 cm,9 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"grey, whitish",,,,,,1.3 mm,1.3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000953231
Acalypha wilkesiana,,,shrub,,,,,"tomentose, glabrous, pubescent",,,,,,"cordate, orbicular, ovate","acuminate, obtuse",cordate,"crenate, serrate",5 cm,13 cm,5 cm,25 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000254905
Acantholimon calocephalum,,,erect leafy,,,,,scabrous,,,,,,,,,,,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513234
Acantholimon longiflorum,,,"erect leafy, shrub",,,,,"glabrous, pubescent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513396
Acantholimon longiscapum,,,shrub,,,,,"glabrous, scabrous",,,,,,"setiform, lanceolate",,,,,,,,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513397
Acantholimon lycopodioides,,,"erect leafy, tussock, shrub",,,,,"scabrous, pubescent",,,,,,,,,,,,,,reddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513400
Acantholimon polystachyum,,,"erect leafy, tussock, shrub",,,,,"scabrous, pubescent",,,,,,lanceolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513453
Acantholimon stocksii,,,"erect leafy, shrub",,,,,,,,,,,linear,,,denticulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513525
Acanthophyllum fissicalyx,perennial,terrestrial,tussock,,,,,pubescent,spinescent,,,"flat, sessile",,setiform,,,flat,,,0.7 cm,1.0 cm,,,,,,,,,,,,,,,,yellow,1.1 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513648
Acanthophyllum grandiflorum,perennial,terrestrial,tussock,,,,,pubescent,spinescent,,,"flat, sessile",,setiform,,,flat,,,0.7 cm,1.0 cm,,,,,,,,,,,,,,,,yellow,1.1 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513656
Acanthophyllum laxiflorum,,terrestrial,cushion,cushion,,0.05 m,0.08 m,"ciliate, glabrous, pubescent",,,,,,linear,,,ciliate,,,0.7 cm,1.0 cm,,,,,,,,,,,,,"pink, white",,,white,0.5 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513676
Acanthophyllum macrodon,perennial,terrestrial,tussock,,,,,pubescent,spinescent,,,"flat, sessile",,setiform,,,flat,,,0.7 cm,1.0 cm,,,,,,,,,,,,,,,,yellow,1.1 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513682
Acanthophyllum sordidum,,,tree/shrub,,,,,"glandular, pubescent",spinescent,,,"flat, sessile",,setiform,,,flat,0.2 cm,0.3 cm,1.0 cm,2.0 cm,,,,,,,,,,,,,white,,,,0.6 cm,0.7 cm,,,,,,,,,,,,,,,,,,,8.0,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513715
Acanthophyllum squarrosum,perennial,,shrub,,,0.10 m,0.30 m,"glabrous, pubescent",spinescent,,,flat,,setiform,recurved,,"flat, recurved",0.1 cm,0.1 cm,1.5 cm,3.5 cm,,,,,,,,,,,,,"pink, white",,,,0.6 cm,0.8 cm,,,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513722
Acanthophyllum stewartii,,terrestrial,cushion,cushion,,0.05 m,0.08 m,"ciliate, glabrous, pubescent",,,,,,linear,,,ciliate,,,0.7 cm,1.0 cm,,,,,,,,,,,,,"pink, white",,,white,0.5 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513724
Acer acuminatum,perennial,,tree,,,,,,,,lobed,lobed,,,"caudate, acuminate",,,5 cm,12 cm,,,,,raceme,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000513942
Acer caesium,perennial,,"tree/shrub, tree",,,25 m,25 m,,,,lobed,"palmate, lobed",,,,,,8 cm,20 cm,,,,,corymb,,,,,,,"green, yellow",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514024
Acer cappadocicum,,,"tree/shrub, tree",,,20 m,20 m,,,,lobed,lobed,,,,,,5 cm,15 cm,,,,,,,,,,,,"green, yellow",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514067
Acer caudatum,perennial,,tree,,,,,,,,lobed,lobed,,,"caudate, acuminate",,,5 cm,12 cm,,,,,raceme,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514102
Acer discolor,perennial,,"tree/shrub, tree",,trunk,,,"glabrous, glabrescent, pubescent",,,,,,ovate,acuminate,,,2 cm,8 cm,5 cm,18 cm,,,,,,,,,,"greenish, white",,,,0.1 cm,0.2 cm,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514190
Acer oblongum,perennial,,"tree/shrub, tree",,trunk,,,"glabrous, glabrescent, pubescent",,,,,,ovate,acuminate,,,2 cm,8 cm,5 cm,18 cm,,,,,,,,,,"greenish, white",,,,0.1 cm,0.2 cm,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514707
Acer pentapomicum,perennial,,"shrub, tree",,,,,glabrous,,,lobed,lobed,,,,,,4 cm,15 cm,,,,,corymb,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514841
Acer pictum,,,"tree/shrub, tree",,,20 m,20 m,,,,lobed,lobed,,,,,,5 cm,15 cm,,,,,,,,,,,,"green, yellow",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000514846
Achillea filipendulina,,,"erect leafy, herb",,,1 m,1 m,"hairy, glandular",,,,"appressed, pinnatipartite",,oblong,acute,,incised,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000041091
Achillea millefolium,,,shrub,,,1 m,1 m,"woolly, hairy, pubescent, hairs absent",,,,"pinnatipartite, pinnatisect",,"oblong, lanceolate",,,,1 cm,4 cm,20 cm,20 cm,,,,,,,,,,"whitish, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000042097
Achillea setacea,,,herb,,,0.80 m,0.80 m,villouse,,,,"pinnatisect, sessile, pinnatipartite",,"setiform, fukufirn, lanceolate, linear",,,,0.01 cm,0.03 cm,0.05 cm,0.15 cm,,,,,,,,,,"yellow, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000138932
Achnatherum sibiricum,perennial,,tussock,rhizomatous,,0.60 m,1.50 m,"glabrous, pubescent",,,,flat,,,,,flat,0.35 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000841162
Achyranthes aspera,,,,,,,,"tomentose, glabrous",,,,appressed,,"orbicular, ovate, oblong, elliptic","acute, acuminate, obtuse",,,1.3 cm,6 cm,2 cm,16 cm,brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.15 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000516177
Achyranthes bidentata,,,"herb, climber/scrambler",,,0.6 m,2 m,hairy,,,,appressed,,"ovate, oblong, lanceolate, elliptic",acuminate,,,1.2 cm,10 cm,4.5 cm,28 cm,brownish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.2 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000516220
Acokanthera oblongifolia,,,"shrub, tree",,,,,,,,,,"opposite, decussate","oblong, elliptic","acute, acuminate, mucronate",,,2.5 cm,5 cm,6.25 cm,12.5 cm,,,,,,,,,,white,,,,,,,,,,1.7 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001072537
Aconitum chasmanthum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517067
Aconitum curvipilum,perennial,,erect leafy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517136
Aconitum heterophyllum,annual,,,,,,,,,,lobed,"amplexicaul, sessile, lobed",,"cordate, orbicular, ovate",,"cordate, orbicular","crenate, dentate, lobate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,3 mm,4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-1000035738
Aconitum kurramense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517498
Aconitum laeve,,,,,,,,glabrous,,,,"palmatisect, palmatipartite",,"oblong, orbicular, obovate",,orbicular,"dentate, incised",30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517510
Aconitum lycoctonum,,,,,,,,glabrous,,,,"palmatisect, palmatipartite",,"oblong, orbicular, obovate",,orbicular,"dentate, incised",30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517589
Aconitum napellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000517690
Aconitum rotundifolium,annual,,,,,,,,,,simple,,,"orbicular, obovate, linear",obtuse,orbicular,"dentate, laciniate, incised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000518004
Aconitum soongaricum,perennial,,erect leafy,,,,,glabrous,,,lobed,"pinnatipartite, partite, lobed",,"reniform, orbicular, linear","acute, obtuse",,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000518091
