taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Cirsium lecontei,"perennial, annual",,,,,0.35 m,1.10 m,"glabrous, villouse, villous, pubescent",spinescent,,,pinnatipartite,,"oblong, elliptic, linear",,,,1 cm,4 cm,15 cm,25 cm,,,corymb,,,,,,,,,,,,,,,,"purple, pink",2.2 cm,4.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 28, 32",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000074951
Cirsium mohavense,"biennials, perennial, annual",,,,,0.30 m,2.50 m,"glabrous, tomentose, spinulose","spinulate, spinescent",,,pinnatipartite,,"ovate, oblanceolate, elliptic, spatulate, lanceolate",acute,,"dentate, entire",2 cm,15 cm,10 cm,60 cm,,,"corymb, panicle",,,,,,,,,,,,,,,,"lavender, pink, white",1.6 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,"2n = 30, 32",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000046563
Cirsium neomexicanum,"biennials, annual",,,,,0.40 m,2.90 m,"glabrous, tomentose",spinescent,,,pinnatipartite,,"elliptic, spatulate, oblanceolate",,,,1.5 cm,7 cm,6 cm,35 cm,,,corymb,,,,,,,,,,,,,,,,"lavender, pink, white",1.8 cm,2.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,2n = 30,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000075469
Cirsium nuttallii,"biennials, annual",,,,,0.20 m,3.50 m,"glabrous, tomentose, villouse, villous, pubescent",spinescent,,lobed,"pinnatipartite, lobed",,elliptic,,,dentate,2 cm,15 cm,10 cm,60 cm,,,"corymb, panicle",,,,,,,,,,,,,,,,"purple, lavender, pink, white",1.7 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 24, 26, 28",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-1000040354
Cirsium occidentale,"biennials, annual",,,,,0.05 m,4.00 m,"glabrous, tomentose",spinescent,,,pinnatipartite,,"elliptic, spatulate, oblanceolate",,,,1.5 cm,10 cm,6 cm,40 cm,,,clustered,,,,,,,,,,,,,,,,"rose-purple, red, lavender, pink, white",1.8 cm,4.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000074921
Cirsium ochrocentrum,perennial,,,,,0.30 m,0.90 m,tomentose,spinescent,,,pinnatipartite,,"elliptic, oblong",acute,,"spinose, dentate, revolute, undulate",2 cm,8 cm,10 cm,30 cm,,,corymb,,,,,,,,,,,,,,,,"purple, red, lavender, pink, white",2.5 cm,4.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,"2n = 30, 31, 32, 34",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000028672
Cirsium ownbeyi,perennial,,,,,0.30 m,0.70 m,"glabrous, spinulose, tomentose, villouse, villous, glabrescent","spinulate, spinescent",,lobed,lobed,,"oblong, linear, oblanceolate, elliptic, spatulate, lanceolate",,,dentate,2 cm,7 cm,15 cm,30 cm,,,corymb,,,,,,,,,,,,,,,,"purple, pink, white",1.6 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000025214
Cirsium palustre,"biennials, perennial, annual",,,,,0.30 m,3.00 m,"glabrous, tomentose, villouse, villous, pubescent",spinescent,,lobed,"pinnatipartite, lobed",,"elliptic, spatulate, oblanceolate",,,dentate,3 cm,10 cm,15 cm,30 cm,,,clustered,,,,,,,,,,,,,,,,"purple, lavender, white",1.1 cm,1.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 34,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000043760
Cirsium parryi,"biennials, annual",,,,,0.50 m,2.00 m,"glabrous, pubescent, spinulose, glabrescent","spinulate, spinescent",,,"pinnatipartite, flat",,"lanceolate, spatulate, oblong, oblanceolate",,,"dentate, flat, undulate, entire",2 cm,5 cm,10 cm,30 cm,,,"clustered, raceme",,,,,,,,,,,,,,,,"purple, yellow, white",1.1 cm,1.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,2n = 34,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000013121
Cirsium perplexans,"biennials, annual",,,,,,,"glabrous, pubescent, tomentose, spinulose","spinulate, spinescent",,,pinnatipartite,,"elliptic, oblong",,,dentate,2 cm,6 cm,15 cm,30 cm,,,"corymb, panicle",,,,,,,,,fusion,"purple, reddish, lavender",0.6 cm,0.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000007955
Cirsium pitcheri,"biennials, perennial, annual",,,,,0.20 m,1.00 m,"tomentose, spinulose","spinulate, spinescent",,,,,"elliptic, linear, obovate",,,"revolute, entire",8 cm,14 cm,10 cm,30 cm,,,corymb,,,,,,,,,,,,,,,,"purple, pinkish, white",2.0 cm,3.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 34,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000136885
Cirsium praeteriens,"biennials, perennial, annual",,erect leafy,,,1.00 m,1.00 m,"glabrous, tomentose, villouse, villous, glabrescent, pubescent",spinescent,,,,,"lanceolate, elliptic, spatulate, oblanceolate",acuminate,,entire,6 cm,8 cm,15 cm,30 cm,,,,,,,,,,,,,,,,,,,white,3.0 cm,3.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000136821
Cirsium pulcherrimum,perennial,,,,,,,spinulose,"spinulate, spinescent",,,pinnatipartite,,"oblong, linear, oblanceolate, elliptic, spatulate",,,dentate,0.6 cm,7 cm,5 cm,25 cm,,,"clustered, raceme",,,,,,,,,,,,,,,,"purple, pink, white",1.8 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,2n = 34,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000115201
Cirsium pumilum,"biennials, perennial, annual",,,,,0.25 m,1.00 m,"glabrous, tomentose, villouse, villous, pubescent",spinescent,,lobed,"pinnatipartite, lobed",,"elliptic, ovate",acute,,"dentate, spinose, undulate",2 cm,10 cm,5 cm,30 cm,,,,,,,,,,,,,,,,,,,"purple, pink, white",4.0 cm,6.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 30,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000125166
